code,label
1,Agriculture industries; farming
101,Field crops
102,Forage crops
103,Grasses
104,Legumes (for forage, including Alfalfa)
105,Stover and fodder
11,Cereals
111,Wheat
112,Corn
113,Oats
114,Rice
115,Other cereals
116,Sugar crops (see also :21)
117,Cane
118,Beet and other
119,Potato
12,Fiber crops
121,Cotton
122,Flax
123,Hemp
124,Other fiber crops
125,Tobacco
126,Tea
127,Coffee
128,Cacao
129,Other field crops
13,Truck farming
131,Vegetables (except potato)
131A2,Artichoke
131A4,Asparagus
131B2,Beans
131B4,Beets
131B6,Brussels sprouts
131C1,Cabbage
131C2,Carrot
131C3,Cauliflower
131C4,Celery
131C5,Chard, Swiss
131C6,Corn, Sweet
131C7,Cucumber
131E2,Eggplant
131E4,Endive
131E6,Escarole
131F2,Fennel
131H3,Horseradish
131K2,Kale
131K6,Kohl-rabi
131L2,Lettuce
131M2,Melon
131M6,Mushroom
131M8,Mustard (Vegetable)
131O3,Onion
131P2,Parsley
131P3,Parsnip
131P5,Pea
131P6,Peanut
131P7,Peppers
131P9,Pumpkin
131R2,Radish
131R4,Rhubarb
131S2,Sorrel
131S4,Spinach
131S6,Squash
131S8,Sweet potato
131T6,Tomato
131T8,Turnip
132,Small fruits. Berries
132B5,Blackberry
132B7,Blueberry
132C5,Cranberry
132C7,Currants
132G5,Gooseberry
132G7,Grape
132H8,Huckleberry
132L7,Logan blackberry
132R2,Raspberry
132S6,Strawberry
133,Medicinal and savory herbs
134,Seed growing and seedlings
135,Flowers and ornamental plants
136,Perfume plants
137,Nursery industry (including forest trees)
14,Orchard industry
141,Pome fruits
141A2,Apple
141C5,Crabapple
141P2,Pear
141Q5,Quince
142,Stone fruits
142A2,Apricot
142C5,Cherry
142P3,Peach
142P5,Plum
143,Citrus fruits
143G5,Grapefruit
143L2,Lemon
143L4,Lime
143O5,Orange
143P5,Pomelo
144,Non-citrus subtropical fruits
144A8,Avocado
144D2,Date
144F3,Fig
144O3,Olive
144P2,Persimmons (Japanese)
144P4,Pineapple
144P6,Pomegranate
145,Tropical fruits
145B2,Banana
146,Nuts
146A4,Almond
146B8,Butternut
146C3,Chestnut
146F3,Filbert
146H3,Hickory nut
146P2,Pecan
146W2,Walnut
147,Spices
148,Plantation rubber
15,Animal industry (including breeding)
151,Beef cattle
152,Dairy cattle (for dairy products, see :414)
154,Swine
155,Sheep
1552,Wool growing
1554,Goats
156,Draft animals
157,Fur-bearing animals (see also :253)
158,Pets
159,Other animals
